sp_abbrev,n_variants,n_curves,form,B0_consensus_ft,B1_consensus_ft_per_in,MCW20_consensus_ft,MCW20_min,MCW20_max,MCW20_spread,variants
DF,5,5,linear,4.7101,1.4987,34.69,31.78,36.79,5.01,cr;pn;so;tt;ut
AF,4,4,linear,3.4779,1.1428,26.33,18.85,34.05,15.2,cr;pn;so;ut
AS,4,4,linear,4.0791,1.6485,37.05,37.05,41.56,4.51,pn;so;tt;ut
ES,4,4,linear,4.0396,1.1993,28.05,28.0,31.72,3.72,pn;so;ut;wc
MH,4,4,linear,4.0791,1.3316,30.95,28.05,43.88,15.83,cr;pn;so;wc
WB,4,4,linear,3.2675,1.4228,31.72,31.72,31.72,0.0,pn;so;tt;ut
WF,4,4,linear,5.4482,1.2531,30.51,26.33,37.05,10.72,cr;pn;so;ut
GF,3,3,linear,6.1862,1.0074,26.34,26.33,32.46,6.13,cr;pn;so
LP,3,3,linear,3.2675,1.4228,31.72,31.72,43.5,11.78,pn;so;ut
PP,3,3,linear,3.4851,1.3426,30.34,29.05,30.34,1.29,pn;so;ut
RC,3,3,linear,4.0791,1.6485,37.0,34.05,37.05,3.0,cr;pn;so
BM,2,2,linear,3.1715,1.7885,38.94,34.0,43.88,9.88,pn;so
BS,2,2,linear,4.0791,1.1985,28.05,28.05,28.05,0.0,tt;ut
IC,2,2,linear,3.282,1.2031,27.34,27.34,27.35,0.0,pn;so
LL,2,2,linear,3.3763,1.3827,31.03,30.34,31.72,1.39,pn;wc
LM,2,2,linear,3.2675,1.4228,31.72,31.72,31.72,0.0,tt;ut
NF,2,2,linear,3.6884,0.8624,20.94,20.93,20.94,0.01,pn;so
PY,2,2,linear,3.7819,1.7229,38.24,32.6,43.88,11.28,pn;so
RA,2,2,linear,6.222,1.6174,38.57,38.54,38.6,0.06,pn;so
SF,2,2,linear,6.1051,1.5494,37.09,34.69,39.5,4.81,pn;so
SP,2,2,linear,4.0739,1.207,28.21,26.09,30.34,4.25,pn;so
WA,2,2,linear,6.222,1.6174,38.57,38.54,38.6,0.06,pn;so
WH,2,2,linear,4.5653,1.4148,32.86,32.86,32.87,0.01,pn;so
WL,2,2,linear,3.7048,1.3088,29.88,29.05,30.71,1.67,cr;so
WP,2,2,linear,3.2107,1.2636,28.48,28.48,28.49,0.01,pn;so
CB,1,1,linear,7.8108,1.1985,31.78,31.78,31.78,0.0,cr
CH,1,1,linear,2.9794,1.5512,34.0,34.0,34.0,0.0,pn
CW,1,1,linear,0.5,1.62,32.9,32.9,32.9,0.0,pn
DG,1,1,linear,2.9794,1.5512,34.0,34.0,34.0,0.0,pn
GC,1,1,linear,2.9794,1.5512,34.0,34.0,34.0,0.0,pn
HT,1,1,linear,3.0786,1.9242,41.56,41.56,41.56,0.0,pn
J,1,1,linear,4.2,1.42,32.6,32.6,32.6,0.0,pn
JP,1,1,linear,3.4851,1.3426,30.34,30.34,30.34,0.0,pn
JU,1,1,linear,3.2675,1.4228,31.72,31.72,31.72,0.0,so
KP,1,1,linear,3.2675,1.4228,31.72,31.72,31.72,0.0,pn
OT,1,1,linear,3.5,2.0,43.5,43.5,43.5,0.0,pn
PB,1,1,linear,3.0786,1.9242,41.56,41.56,41.56,0.0,pn
PM,1,1,linear,3.2675,1.4228,31.72,31.72,31.72,0.0,tt
RF,1,1,linear,3.0886,0.7882,18.85,18.85,18.85,0.0,pn
RW,1,1,linear,4.6366,1.6078,36.79,36.79,36.79,0.0,pn
SS,1,1,linear,6.5,1.8,42.5,42.5,42.5,0.0,pn
WI,1,1,linear,2.9794,1.5512,34.0,34.0,34.0,0.0,pn
WO,1,1,linear,3.0786,1.9242,41.56,41.56,41.56,0.0,pn
YC,1,1,linear,3.2837,1.2031,27.35,27.35,27.35,0.0,pn
